passenger_id,origin,destination,appear_time,board_time,arrival_time,status,wait_time,travel_time,total_time,assigned_vehicle
P282,8592374,8577785,1399.4646532228676,2606.0,2991.0,ARRIVED,1206.5353467771324,385.0,1591.5353467771324,
P283,8592374,8577785,1699.055553891585,2606.0,2991.0,ARRIVED,906.9444461084149,385.0,1291.944446108415,
P284,8592374,8577785,1782.4022880777356,2606.0,2991.0,ARRIVED,823.5977119222644,385.0,1208.5977119222644,
P285,8592374,8504622,1434.58069885995,1627.0,2164.0,ARRIVED,192.41930114005004,537.0,729.41930114005,
P286,8592374,8504622,1501.823371993009,1627.0,2164.0,ARRIVED,125.176628006991,537.0,662.176628006991,
P287,8592374,8504622,1668.5975379724644,2115.0,2639.0,ARRIVED,446.40246202753565,524.0,970.4024620275356,
P288,8592374,8589271,1216.3256278210076,1627.0,2436.0,ARRIVED,410.67437217899237,809.0,1219.6743721789924,
P289,8592374,8589271,1565.5924799511524,1627.0,2436.0,ARRIVED,61.40752004884757,809.0,870.4075200488476,
P290,8592374,8589271,1671.1486034146656,2741.999984741211,2964.000015258789,ARRIVED,1070.8513813265454,222.00003051757812,1292.8514118441235,MINIBUS_1
P291,8592374,8592375,1315.7206278493525,2741.999984741211,2864.3999938964844,ARRIVED,1426.2793568918585,122.40000915527344,1548.679366047132,MINIBUS_1
P292,8592374,8592378,1495.7930724361026,2612.0,3277.0,ARRIVED,1116.2069275638974,665.0,1781.2069275638974,
P293,8592374,8592378,1502.3311564052078,2612.0,3277.0,ARRIVED,1109.6688435947922,665.0,1774.6688435947922,
P294,8592374,8592377,1219.145122109695,2612.0,3154.0,ARRIVED,1392.854877890305,542.0,1934.854877890305,
P295,8592374,8592377,1296.0758487867029,2612.0,3154.0,ARRIVED,1315.9241512132971,542.0,1857.9241512132971,
P296,8592374,8589158,1285.1997291055263,1380.0,1970.0,ARRIVED,94.80027089447367,590.0,684.8002708944737,
P297,8592374,8589158,1385.1227371445789,2341.0,2885.0,ARRIVED,955.8772628554211,544.0,1499.8772628554211,
P298,8592374,8589158,1444.6242035068647,2341.0,2885.0,ARRIVED,896.3757964931353,544.0,1440.3757964931353,
P299,8592374,8589158,1479.3264813814844,2341.0,2885.0,ARRIVED,861.6735186185156,544.0,1405.6735186185156,
P300,8592374,8589158,1519.1751148365233,2341.0,2885.0,ARRIVED,821.8248851634767,544.0,1365.8248851634767,
P301,8592374,8589158,1630.8074728293739,2341.0,2885.0,ARRIVED,710.1925271706261,544.0,1254.1925271706261,
P302,8592374,8589158,1770.3912601956815,2341.0,2885.0,ARRIVED,570.6087398043185,544.0,1114.6087398043185,
P303,8589130,8592374,1667.6493095546225,1835.0,2735.0,ARRIVED,167.3506904453775,900.0,1067.3506904453775,
P304,8589130,8592374,1696.3403935167184,1835.0,2735.0,ARRIVED,138.65960648328155,900.0,1038.6596064832816,
P305,8589131,8592374,1217.7845119346214,1544.0,2115.0,ARRIVED,326.2154880653786,571.0,897.2154880653786,
P306,8589131,8592374,1457.0229066432394,1544.0,2115.0,ARRIVED,86.97709335676063,571.0,657.9770933567606,
P307,8589131,8592374,1631.7894891394244,2002.0,2735.0,ARRIVED,370.2105108605756,733.0,1103.2105108605756,
P308,8588344,8592374,1237.04499595439,2078.0,2735.0,ARRIVED,840.9550040456099,657.0,1497.95500404561,
P309,8588344,8592374,1247.7169368874572,2078.0,2735.0,ARRIVED,830.2830631125428,657.0,1487.2830631125428,
P310,8588344,8592374,1260.9433072767818,2078.0,2735.0,ARRIVED,817.0566927232182,657.0,1474.0566927232182,
P311,8588344,8592374,1383.8087827407041,2078.0,2735.0,ARRIVED,694.1912172592959,657.0,1351.1912172592959,
P312,8588344,8592374,1466.3435552905357,2078.0,2735.0,ARRIVED,611.6564447094643,657.0,1268.6564447094643,
P313,8588344,8592374,1475.4814449115688,2078.0,2735.0,ARRIVED,602.5185550884312,657.0,1259.5185550884312,
P314,8588344,8592374,1483.0119181974492,2078.0,2735.0,ARRIVED,594.9880818025508,657.0,1251.9880818025508,
P315,8588344,8592374,1586.4869300534292,2078.0,2735.0,ARRIVED,491.5130699465708,657.0,1148.5130699465708,
P316,8588344,8592374,1592.9623091556405,2078.0,2735.0,ARRIVED,485.03769084435953,657.0,1142.0376908443595,
P317,8588344,8592374,1740.835382339233,2078.0,2735.0,ARRIVED,337.1646176607669,657.0,994.1646176607669,
P318,8577786,8592374,1216.9697501160624,1230.0,1627.0,ARRIVED,13.030249883937586,397.0,410.0302498839376,
P319,8577786,8592374,1234.7005236716238,1692.0,2115.0,ARRIVED,457.29947632837616,423.0,880.2994763283762,
P320,8577785,8592374,1256.2605099062748,1777.0,2115.0,ARRIVED,520.7394900937252,338.0,858.7394900937252,
P321,8577785,8592374,1311.8271411633123,1777.0,2115.0,ARRIVED,465.17285883668774,338.0,803.1728588366877,
P322,8577785,8592374,1512.8961895572336,1777.0,2115.0,ARRIVED,264.1038104427664,338.0,602.1038104427664,
P323,8592377,8592374,1270.803149942869,1878.0,2341.0,ARRIVED,607.1968500571311,463.0,1070.196850057131,
P324,8592377,8592374,1283.8822489975626,1878.0,2341.0,ARRIVED,594.1177510024374,463.0,1057.1177510024374,
P325,8592377,8592374,1509.0686300657565,1878.0,2341.0,ARRIVED,368.93136993424355,463.0,831.9313699342435,
P326,8592377,8592374,1631.6726911999804,1878.0,2341.0,ARRIVED,246.32730880001964,463.0,709.3273088000196,
P327,8592377,8592374,1714.4776599957265,1878.0,2341.0,ARRIVED,163.52234000427347,463.0,626.5223400042735,
P328,8589158,8592374,1217.682031195782,2029.0,2612.0,ARRIVED,811.317968804218,583.0,1394.317968804218,
P329,8589158,8592374,1319.4577976017251,2029.0,2612.0,ARRIVED,709.5422023982749,583.0,1292.5422023982749,
P330,8589158,8592374,1321.1705860166064,2029.0,2612.0,ARRIVED,707.8294139833936,583.0,1290.8294139833936,
P331,8589158,8592374,1416.0237414540454,2029.0,2612.0,ARRIVED,612.9762585459546,583.0,1195.9762585459546,
P332,8589158,8592374,1424.7163061139343,2029.0,2612.0,ARRIVED,604.2836938860657,583.0,1187.2836938860657,
P333,8589158,8592374,1443.68995550361,2029.0,2612.0,ARRIVED,585.31004449639,583.0,1168.31004449639,
P334,8589158,8592374,1462.4438903047285,2029.0,2612.0,ARRIVED,566.5561096952715,583.0,1149.5561096952715,
P335,8589158,8592374,1619.5791482657742,2029.0,2612.0,ARRIVED,409.42085173422583,583.0,992.4208517342258,
P336,8587356,8592374,1725.3322663217211,2165.0,2606.0,ARRIVED,439.66773367827886,441.0,880.6677336782789,
P337,8589141,8589161,1893.9593155840535,2116.199996948242,2160.000015258789,ARRIVED,222.24068136418873,43.800018310546875,266.0406996747356,MINIBUS_1
P338,8589141,8589161,1961.2531470681652,2116.199996948242,2160.000015258789,ARRIVED,154.94684988007702,43.800018310546875,198.7468681906239,MINIBUS_1
P339,8589141,8589161,2367.153654702211,,,WAITING,,,,MINIBUS_1
P340,8589138,8592374,1803.6686833076908,1958.0,2606.0,ARRIVED,154.3313166923092,648.0,802.3313166923092,
P341,8591766,8592374,1805.2942798342203,2034.0,2606.0,ARRIVED,228.70572016577967,572.0,800.7057201657797,
P342,8591766,8592374,2071.4208273334216,2153.0,2612.0,ARRIVED,81.57917266657842,459.0,540.5791726665784,
P343,8591766,8592374,2161.4380173753484,2506.0,3063.0,ARRIVED,344.5619826246516,557.0,901.5619826246516,
P344,8587255,8592374,1809.1993651145347,2305.0,2606.0,ARRIVED,495.80063488546534,301.0,796.8006348854653,
