================================================================================
MINIBUS TRAVEL TIME DEBUG LOG
================================================================================

[ARRIVE         ] MINIBUS_4:    8589161 -> 8589270    | travel= 420.0s | occ= 4/8 | t= 4591.8s | arrive= 5011.8s
[UPDATE_ROUTE   ] MINIBUS_5:    8592374 -> 8592374    | travel=   0.0s | occ= 1/8 | t= 4800.0s | arrive= 4800.0s
[ARRIVE         ] MINIBUS_5:    8592374 -> 8592375    | travel= 306.0s | occ= 3/8 | t= 4800.0s | arrive= 5106.0s
[ARRIVE         ] MINIBUS_1:    8589161 -> 8589158    | travel= 502.2s | occ= 1/8 | t= 4875.0s | arrive= 5377.2s
[ARRIVE         ] MINIBUS_3:    8577741 -> 8589154    | travel=  70.2s | occ= 1/8 | t= 4940.4s | arrive= 5010.6s
[ARRIVE         ] MINIBUS_3:    8589154 -> 8592374    | travel= 136.8s | occ= 0/8 | t= 5010.6s | arrive= 5147.4s
[ARRIVE         ] MINIBUS_4:    8589270 -> 8589138    | travel=  63.0s | occ= 3/8 | t= 5011.8s | arrive= 5074.8s
[ARRIVE         ] MINIBUS_4:    8589138 -> 8589152    | travel=  49.8s | occ= 2/8 | t= 5074.8s | arrive= 5124.6s
[UPDATE_ROUTE   ] MINIBUS_2:    8577786 -> 8589131    | travel= 114.0s | occ= 0/8 | t= 5100.0s | arrive= 5214.0s
[ARRIVE         ] MINIBUS_5:    8592375 -> 8592377    | travel= 163.2s | occ= 2/8 | t= 5106.0s | arrive= 5269.2s
[ARRIVE         ] MINIBUS_4:    8589152 -> 8589152    | travel=   0.0s | occ= 1/8 | t= 5124.6s | arrive= 5124.6s
[ARRIVE         ] MINIBUS_4:    8589152 -> 8589271    | travel= 115.8s | occ= 2/8 | t= 5124.6s | arrive= 5240.4s
[ARRIVE         ] MINIBUS_3:    8592374 -> 8587255    | travel= 175.8s | occ= 4/8 | t= 5147.4s | arrive= 5323.2s
[ARRIVE         ] MINIBUS_2:    8589131 -> 8577786    | travel= 174.0s | occ= 1/8 | t= 5214.0s | arrive= 5388.0s
[ARRIVE         ] MINIBUS_4:    8589271 -> 8589161    | travel= 624.0s | occ= 1/8 | t= 5240.4s | arrive= 5864.4s
[ARRIVE         ] MINIBUS_5:    8592377 -> 8592374    | travel= 394.8s | occ= 1/8 | t= 5269.2s | arrive= 5664.0s
[ARRIVE         ] MINIBUS_3:    8587255 -> 8589138    | travel= 345.0s | occ= 2/8 | t= 5323.2s | arrive= 5668.2s
[ARRIVE         ] MINIBUS_2:    8577786 -> 8592374    | travel= 357.0s | occ= 2/8 | t= 5388.0s | arrive= 5745.0s
[UPDATE_ROUTE   ] MINIBUS_1:    8589158 -> 8591766    | travel=  87.0s | occ= 0/8 | t= 5400.0s | arrive= 5487.0s
[ARRIVE         ] MINIBUS_1:    8591766 -> 8592374    | travel= 477.0s | occ= 2/8 | t= 5487.0s | arrive= 5964.0s
[ARRIVE         ] MINIBUS_3:    8589138 -> 8589158    | travel= 144.0s | occ= 1/8 | t= 5668.2s | arrive= 5812.2s
[UPDATE_ROUTE   ] MINIBUS_5:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t= 5700.0s | arrive= 5700.0s
[ARRIVE         ] MINIBUS_5:    8592374 -> 8589161    | travel=  91.8s | occ= 3/8 | t= 5700.0s | arrive= 5791.8s
[ARRIVE         ] MINIBUS_5:    8589161 -> 8587255    | travel=  90.0s | occ= 5/8 | t= 5791.8s | arrive= 5881.8s
[ARRIVE         ] MINIBUS_5:    8587255 -> 8589270    | travel= 339.0s | occ= 3/8 | t= 5881.8s | arrive= 6220.8s
[ARRIVE         ] MINIBUS_1:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t= 5964.0s | arrive= 5964.0s
[ARRIVE         ] MINIBUS_1:    8592374 -> 8589130    | travel= 592.2s | occ= 1/8 | t= 5964.0s | arrive= 6556.2s
[UPDATE_ROUTE   ] MINIBUS_2:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t= 6000.0s | arrive= 6000.0s
[ARRIVE         ] MINIBUS_2:    8592374 -> 8577820    | travel= 202.8s | occ= 3/8 | t= 6000.0s | arrive= 6202.8s
[ARRIVE         ] MINIBUS_2:    8577820 -> 8577786    | travel= 322.8s | occ= 2/8 | t= 6202.8s | arrive= 6525.6s
